,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,24%,12:16,133,"1,203",438,4,20,36.5,115,6,308,163,10,17,416,0,78%,0,2,5,85.5%,343,45,13,5,67%,22/33,Dragons vs Roosters,Dragons,2014
1,76%,38:53,186,"1,772",607,6,45,44.3,230,11,456,245,10,21,485,2,93%,1,4,5,90%,278,20,11,6,70%,28/40,Dragons vs Roosters,Roosters,2014
