,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:00,175,"1,692",508,6,31,52.9,110,3.2s,18,374,203,17,18,434,1,71%,5,3,91.8%,290,22,4,8,8,8,0,72%,23/32,Bulldogs vs Knights,Bulldogs,2017
1,47%,23:56,152,"1,407",533,3,22,39.1,179,3.38s,3,352,185,24,23,601,4,70%,5,7,83.7%,288,31,25,8,5,8,2,83%,30/36,Bulldogs vs Knights,Knights,2017
