,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,13:46,180,"1,286",400,4,47,32.2,121,16,405,201,22,25,554,0,84%,2,1,89.6%,319,30,7,4,63%,25/40,Bulldogs vs Knights,Bulldogs,2013
1,46%,11:44,157,"1,221",396,3,30,28.4,121,5,360,171,13,22,648,1,78%,3,4,81.2%,310,47,25,3,72%,31/43,Bulldogs vs Knights,Knights,2013
