,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,21:04,163,"1,453",468,7,32,36.3,215,9,351,194,20,15,453,2,100%,2,4,89.9%,250,15,13,7,1,78%,31/40,Storm vs Knights,Storm,2014
1,48%,19:26,120,"1,137",428,3,15,35.6,196,7,313,171,8,15,403,1,80%,2,2,87.2%,293,32,11,15,0,78%,25/32,Storm vs Knights,Knights,2014
