,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,27:31,175,"1,626",484,7,29,42.8,167,3.78s,11,365,193,24,18,494,1,88%,2,1,87.9%,304,25,1,17,7,1,79%,30/38,Dragons vs Knights,Dragons,2015
1,42%,19:56,145,"1,414",450,5,25,42.9,156,3.73s,12,315,166,13,16,451,0,29%,5,3,87.7%,328,29,2,17,8,0,82%,27/33,Dragons vs Knights,Knights,2015
