,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,26:32,164,"1,681",582,3,37,45.4,161,3.45s,4,395,208,20,24,776,0,79%,5,4,86.4%,338,41,0,12,6,9,0,8,0,86%,32/37,Broncos vs Eels,Broncos,2018
1,52%,28:44,165,"1,808",585,1,41,44.1,248,3.27s,6,398,219,17,21,468,3,67%,6,6,89.1%,368,37,1,8,13,6,1,8,2,76%,31/41,Broncos vs Eels,Eels,2018
