,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,23:57,180,"1,746",570,5,12,43.7,158,3.88s,10,413,231,34,22,602,4,78%,4,2,91%,342,22,1,12,8,1,78%,31/40,Storm vs Dragons,Storm,2015
1,45%,19:36,173,"1,544",538,2,22,40.7,130,3.81s,8,410,243,28,14,358,1,86%,4,3,92.5%,382,12,1,19,5,0,63%,24/38,Storm vs Dragons,Dragons,2015
