,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,22:56,154,"1,482",477,6,23,38,153,9,358,185,7,20,562,2,82%,1,2,5,89.1%,312,21,17,6,0,85%,33/39,Rabbitohs vs Bulldogs,Rabbitohs,2013
1,54%,26:56,148,"1,419",470,4,21,45.8,163,8,360,196,10,14,368,0,100%,0,1,2,90.2%,303,23,10,8,2,71%,22/31,Rabbitohs vs Bulldogs,Bulldogs,2013
