,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,28:12,186,"1,560",433,4,40,37.1,273,18,415,222,13,19,475,89%,8,2,88.8%,365,22,0,24,4,1,67%,28/42,Roosters vs Titans,Roosters,2013
1,47%,25:00,183,"1,640",586,4,22,41,114,11,416,212,7,22,735,81%,7,2,81.3%,295,40,1,28,6,0,83%,33/40,Roosters vs Titans,Titans,2013
