,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:37,149,"1,220",387,1,14,30.5,93,3.65s,5,332,181,46,14,350,0,80%,6,1,92.8%,269,12,9,12,14,0,1,7,73%,29/40,Sharks vs Storm,Sharks,2018
1,48%,22:43,141,"1,216",334,1,12,29,103,3.25s,6,314,170,46,16,269,2,88%,1,7,94.1%,302,14,5,15,19,2,1,8,64%,27/42,Sharks vs Storm,Storm,2018
