,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:56,160,"1,301",405,1,21,34.3,106,3.57s,9,306,168,12,13,396,1,71%,2,4,90.5%,419,32,12,10,9,1,0,8,1,74%,28/38,Warriors vs Storm,Warriors,2019
1,57%,30:24,216,"1,632",503,4,32,41.9,169,3.61s,9,406,210,13,24,518,2,71%,5,8,89.4%,311,21,16,4,12,0,1,8,1,92%,36/39,Warriors vs Storm,Storm,2019
