,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,67%,37:13,187,"1,703",567,3,25,38.7,243,19,454,236,30,26,530,2,88%,4,5,94.5%,344,12,8,4,0,77%,34/44,Dragons vs Cowboys,Dragons,2013
1,33%,18:20,154,"1,391",531,5,12,37.6,117,5,377,195,15,22,515,1,87%,3,3,86.5%,371,25,33,6,2,68%,25/37,Dragons vs Cowboys,Cowboys,2013
