,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:40,163,"1,410",451,2,13,37.1,201,7,369,177,11,30,984,1,100%,4,6,90.1%,326,28,1,8,4,1,89%,34/38,Sea Eagles vs Bulldogs,Sea Eagles,2014
1,51%,27:46,147,"1,236",452,3,28,37.5,158,4,383,207,4,22,650,0,90%,1,0,93.8%,347,13,0,10,4,1,79%,26/33,Sea Eagles vs Bulldogs,Bulldogs,2014
