,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,64%,26:21,158,"1,508",513,6,31,43.1,232,8,361,202,16,15,338,3,71%,4,5,90.3%,298,27,5,9,1,66%,23/35,Rabbitohs vs Raiders,Rabbitohs,2015
1,36%,14:49,145,"1,378",430,7,27,38.3,162,3,324,173,19,18,509,0,86%,6,4,87.9%,299,31,10,6,0,83%,30/36,Rabbitohs vs Raiders,Raiders,2015
