,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:27,145,"1,401",521,2,20,42.5,272,5,357,197,3,22,556,0,95%,1,4,5,90%,377,32,0,10,9,2,82%,27/33,Eels vs Rabbitohs,Eels,2014
1,49%,26:22,178,"1,723",620,6,32,43.1,210,7,412,221,12,20,558,1,83%,0,3,4,92.5%,331,20,2,7,8,1,92%,37/40,Eels vs Rabbitohs,Rabbitohs,2014
