,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:19,163,"1,571",539,4,19,41.4,190,16,414,219,13,22,519,1,94%,8,3,92.3%,383,28,1,4,7,66%,25/38,Panthers vs Dragons,Panthers,2014
1,51%,28:26,170,"1,586",562,4,28,41.8,125,3,470,287,16,23,638,1,100%,2,6,89.1%,345,19,0,23,4,74%,28/38,Panthers vs Dragons,Dragons,2014
