,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,22:13,174,"1,671",611,5,28,44,220,9,422,236,13,19,475,1,86%,4,5,92.8%,309,12,12,2,0,71%,27/38,Rabbitohs vs Dragons,Rabbitohs,2014
1,59%,31:59,145,"1,228",412,1,12,38.4,99,9,374,199,15,22,581,0,77%,7,4,90.5%,372,28,11,7,1,78%,25/32,Rabbitohs vs Dragons,Dragons,2014
