,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:52,187,"1,632",484,2,24,40.8,263,12,453,245,8,21,647,1,85%,6,2,90.6%,356,26,11,4,65%,26/40,Sea Eagles vs Knights,Sea Eagles,2014
1,49%,27:45,173,"1,626",530,2,26,40.6,226,7,428,221,6,29,874,2,79%,2,6,88.5%,323,25,17,3,85%,34/40,Sea Eagles vs Knights,Knights,2014
