,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,29:13,189,"1,833",569,7,58,45.8,222,3.57s,9,394,210,20,13,335,73%,4,1,84%,284,43,0,11,14,5,7,68%,27/40,Panthers vs Wests Tigers,Panthers,2017
1,44%,22:57,170,"1,499",443,5,43,45.4,110,3.29s,11,382,207,13,20,459,67%,5,5,83.7%,360,58,1,12,10,9,7,76%,25/33,Panthers vs Wests Tigers,Wests Tigers,2017
