,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:25,167,"1,680",481,8,24,45.4,235,3.64s,4,378,205,25,20,430,4,73%,0,8,6,90.4%,309,19,1,14,11,6,6,2,76%,28/37,Warriors vs Knights,Warriors,2017
1,50%,25:25,172,"1,380",413,3,19,37.3,127,3.46s,10,394,214,26,19,455,0,67%,1,4,6,91.8%,357,24,0,8,11,3,7,2,70%,26/37,Warriors vs Knights,Knights,2017
