,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,25:54,188,"1,903",500,8,38,43.3,275,3.41s,14,424,227,20,23,543,3,70%,6,9,87.1%,277,24,0,17,15,5,8,73%,32/44,Roosters vs Dragons,Roosters,2016
1,48%,23:55,144,"1,276",440,1,24,37.5,102,3.43s,10,387,224,27,22,523,1,67%,2,6,85.2%,339,38,1,21,11,5,8,74%,25/34,Roosters vs Dragons,Dragons,2016
