,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,37%,19:59,168,"1,381",519,4,16,31.4,118,13,426,242,41,24,567,2,75%,0,4,7,92.7%,317,18,7,5,0,77%,34/44,Bulldogs vs Roosters,Bulldogs,2013
1,63%,34:03,155,"1,400",487,5,18,35,207,5,371,188,19,21,663,0,84%,1,4,2,91.2%,340,16,17,8,1,75%,30/40,Bulldogs vs Roosters,Roosters,2013
