,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,22:57,148,"1,551",515,4,24,44.3,206,5,334,186,14,17,456,3,83%,0,2,9,90.8%,306,15,16,6,80%,28/35,Eels vs Dragons,Eels,2013
1,50%,22:57,167,"1,511",501,4,15,42,151,9,367,203,16,17,508,2,91%,1,3,5,90.2%,285,24,7,5,72%,26/36,Eels vs Dragons,Dragons,2013
