,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,26:31,174,"1,618",456,4,35,42.6,201,3.26s,17,360,183,24,15,383,4,40%,4,3,82.8%,231,27,2,21,13,6,8,0,71%,27/38,Dragons vs Storm,Dragons,2018
1,46%,22:35,143,"1,327",352,5,27,39.1,155,3.41s,13,330,188,23,12,376,1,75%,2,1,83.6%,315,35,0,27,13,11,8,1,65%,22/34,Dragons vs Storm,Storm,2018
