,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:19,188,"1,657",486,3,18,43.6,275,3.56s,11,399,217,34,15,431,0,78%,9,1,90%,369,21,20,5,58%,22/38,Warriors vs Broncos,Warriors,2015
1,49%,26:15,194,"1,601",600,3,21,39.1,111,3.24s,13,452,233,41,27,850,3,82%,3,5,89.5%,333,18,21,5,88%,36/41,Warriors vs Broncos,Broncos,2015
