,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:12,178,"1,529",413,6,24,39.2,110,3.59s,12,377,202,19,18,419,1,67%,3,6,87.3%,338,29,20,9,8,8,79%,31/39,Panthers vs Rabbitohs,Panthers,2016
1,51%,27:16,191,"1,595",429,3,29,44.3,161,3.37s,14,425,245,16,20,432,1,57%,4,6,88.9%,330,24,17,6,8,6,78%,28/36,Panthers vs Rabbitohs,Rabbitohs,2016
