,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,30:12,186,"1,485",415,3,39,37.1,166,3.71s,11,420,228,26,23,520,100%,4,3,92.2%,341,23,0,6,12,4,8,78%,31/40,Roosters vs Sea Eagles,Roosters,2016
1,43%,22:46,160,"1,348",377,3,23,39.7,176,3.68s,4,362,188,30,20,582,45%,1,5,86.2%,349,39,1,17,7,9,8,79%,27/34,Roosters vs Sea Eagles,Sea Eagles,2016
