,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,31:50,177,"1,669",592,2,35,41.7,195,3.34s,13,405,215,4,21,519,2,64%,5,5,84.1%,290,40,1,15,12,6,0,8,75%,30/40,Broncos vs Roosters,Broncos,2019
1,41%,22:07,173,"1,463",483,3,40,45.7,148,3.32s,9,359,187,1,19,487,1,88%,8,4,86.4%,355,35,1,21,15,7,1,8,69%,22/32,Broncos vs Roosters,Roosters,2019
