,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,23:25,158,"1,338",456,1,19,38.2,97,3.81s,14,394,224,31,17,391,2,88%,0,4,86.6%,342,27,26,6,1,71%,25/35,Warriors vs Dragons,Warriors,2015
1,55%,28:37,170,"1,679",543,7,27,44.2,163,3.79s,17,364,175,20,19,551,2,70%,3,2,89%,331,19,22,7,0,79%,30/38,Warriors vs Dragons,Dragons,2015
