,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:23,159,"1,437",521,3,22,35,192,7,375,192,13,20,505,0,100%,1,6,85.2%,306,42,11,5,68%,28/41,Broncos vs Rabbitohs,Broncos,2014
1,50%,25:23,151,"1,573",553,5,42,39.3,316,6,367,183,6,20,565,3,85%,2,7,89.3%,333,22,18,5,68%,27/40,Broncos vs Rabbitohs,Rabbitohs,2014
