,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:09,173,"1,686",580,1,13,42.2,285,3.76s,6,383,196,15,23,555,2,71%,8,5,86.5%,347,31,23,12,7,8,2,75%,30/40,Sea Eagles vs Eels,Sea Eagles,2016
1,51%,28:16,179,"1,565",490,3,31,39.1,152,3.94s,12,401,209,13,24,776,0,85%,3,3,92.7%,332,13,13,3,8,8,1,88%,35/40,Sea Eagles vs Eels,Eels,2016
