,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,37%,19:48,150,"1,393",496,4,18,39.8,128,3.83s,7,363,198,18,20,603,0,67%,3,3,87.2%,353,35,17,10,1,80%,28/35,Eels vs Dragons,Eels,2015
1,63%,33:42,183,"1,664",565,3,35,41.6,203,3.82s,9,434,246,24,18,450,2,67%,2,4,92%,344,18,12,5,0,72%,29/40,Eels vs Dragons,Dragons,2015
