,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,25:16,192,"1,887",597,3,37,43.9,220,12,442,237,6,20,616,1,83%,4,1,87.9%,313,27,0,16,4,1,74%,32/43,Panthers vs Wests Tigers,Panthers,2013
1,48%,23:20,163,"1,467",497,5,27,36.7,134,12,389,196,5,27,894,0,83%,5,7,85.6%,340,37,2,20,6,0,83%,33/40,Panthers vs Wests Tigers,Wests Tigers,2013
