,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,27:03,166,"1,664",610,7,22,42.7,204,13,427,240,9,16,486,1,92%,5,3,89.1%,312,26,0,12,5,0,69%,27/39,Eels vs Cowboys,Eels,2014
1,50%,27:03,160,"1,533",565,4,26,43.8,121,10,411,234,17,16,384,2,89%,3,3,89.5%,365,22,1,21,3,1,69%,24/35,Eels vs Cowboys,Cowboys,2014
