,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,32%,11:56,122,"1,091",406,4,24,29.5,131,15,268,139,17,11,240,1,86%,0,4,85.7%,317,32,1,21,9,0,78%,29/37,Dragons vs Bulldogs,Dragons,2013
1,68%,25:23,161,"1,449",479,9,32,39.2,93,15,365,193,11,16,339,0,100%,3,3,81.2%,211,24,1,25,12,1,84%,31/37,Dragons vs Bulldogs,Bulldogs,2013
