,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,21:11,169,"1,495",502,1,24,38.3,208,6,377,208,0,23,571,2,93%,2,6,92%,369,19,1,13,5,0,85%,33/39,Rabbitohs vs Storm,Rabbitohs,2013
1,58%,29:16,171,"1,717",550,4,19,45.2,263,9,377,186,7,22,630,5,79%,1,7,91.1%,336,24,0,9,10,1,79%,30/38,Rabbitohs vs Storm,Storm,2013
