,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,23:29,159,"1,371",382,5,27,36.1,113,3.29s,6,349,183,5,15,414,1,83%,3,2,85.4%,327,37,19,9,14,0,1,8,74%,28/38,Knights vs Broncos,Knights,2019
1,55%,28:42,176,"1,465",446,2,37,34.9,121,3.26s,12,385,219,6,15,496,1,100%,4,4,89.5%,324,27,11,13,7,1,0,8,76%,32/42,Knights vs Broncos,Broncos,2019
