,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:15,176,"1,810",461,6,41,48.9,300,3.18s,7,389,203,5,20,646,0,83%,9,0,92.1%,374,16,0,16,9,6,0,8,81%,30/37,Roosters vs Bulldogs,Roosters,2019
1,51%,28:21,180,"1,515",391,2,16,43.3,184,3.5s,10,398,210,10,24,602,2,78%,6,9,86.6%,343,41,1,12,5,6,1,8,89%,31/35,Roosters vs Bulldogs,Bulldogs,2019
