,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,65%,34:05,169,"1,929",580,8,28,47,313,10,446,259,20,22,562,1,81%,1,3,6,93.5%,287,6,1,14,4,71%,29/41,Bulldogs vs Storm,Bulldogs,2013
1,35%,18:21,141,"1,185",474,0,6,38.2,82,8,351,179,15,24,725,0,100%,1,4,5,88.9%,330,28,1,13,2,77%,24/31,Bulldogs vs Storm,Storm,2013
