,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,30:34,190,"1,742",548,2,24,47.1,223,3.83s,12,432,234,27,23,534,3,100%,5,5,85.5%,342,32,0,26,4,1,78%,29/37,Knights vs Bulldogs,Knights,2015
1,44%,24:01,182,"1,728",631,5,32,50.8,110,3.72s,17,377,187,18,21,615,1,73%,3,2,89.5%,358,24,1,18,7,1,82%,28/34,Knights vs Bulldogs,Bulldogs,2015
