,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:17,186,"1,725",583,4,39,49.3,254,2.88s,12,369,196,9,16,423,0,90%,6,2,91.2%,351,22,0,12,11,10,8,83%,29/35,Roosters vs Cowboys,Roosters,2018
1,52%,27:23,181,"1,554",531,5,22,43.2,171,3.33s,6,410,239,9,19,505,2,58%,3,7,84.5%,306,39,1,17,5,8,8,97%,35/36,Roosters vs Cowboys,Cowboys,2018
