,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:19,162,"1,537",514,2,9,37.5,214,4,407,218,8,24,692,2,83%,2,6,94.2%,372,20,3,7,80%,33/41,Cowboys vs Rabbitohs,Cowboys,2014
1,49%,24:20,155,"1,451",525,2,20,39.2,225,1,392,214,8,23,690,2,89%,5,5,96.4%,375,9,5,8,84%,31/37,Cowboys vs Rabbitohs,Rabbitohs,2014
