,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,26:24,160,"1,420",437,5,23,39.4,140,3.37s,4,383,219,27,16,340,2,67%,5,6,89.4%,337,31,9,14,9,0,8,67%,24/36,Cowboys vs Knights,Cowboys,2018
1,49%,25:22,188,"1,476",395,4,31,37.9,126,3.54s,6,400,228,32,17,482,3,89%,3,2,91.4%,319,23,7,10,6,1,8,77%,30/39,Cowboys vs Knights,Knights,2018
