,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,23:18,164,"1,561",512,3,29,43.4,136,3.27s,17,375,192,18,21,476,3,33%,3,6,89.7%,341,23,16,9,7,1,8,3,81%,29/36,Eels vs Titans,Eels,2016
1,52%,25:15,161,"1,369",497,3,23,35.1,173,3.57s,10,386,208,18,16,359,1,86%,2,2,84.8%,302,29,25,15,7,0,7,1,64%,25/39,Eels vs Titans,Titans,2016
