,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:03,159,"1,226",439,1,32,37.2,104,3.79s,16,350,190,16,14,461,0,100%,0,1,3,86.9%,338,33,1,18,7,1,64%,21/33,Wests Tigers vs Panthers,Wests Tigers,2015
1,55%,26:58,180,"1,748",532,8,33,43.7,162,3.82s,12,396,215,39,16,446,1,71%,1,3,0,84.7%,316,32,1,25,6,1,70%,28/40,Wests Tigers vs Panthers,Panthers,2015
