,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,29:22,201,"1,919",690,7,46,48,274,3.44s,13,441,241,24,22,545,3,62%,1,2,7,85.9%,268,27,1,17,9,6,7,85%,34/40,Sea Eagles vs Panthers,Sea Eagles,2017
1,43%,22:09,159,"1,397",463,4,27,41.1,115,3.11s,13,356,192,21,17,519,2,82%,0,4,4,84.4%,357,46,0,20,10,6,8,76%,26/34,Sea Eagles vs Panthers,Panthers,2017
