,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,30:53,173,"1,605",546,5,26,38.2,188,3.97s,4,414,229,32,22,659,3,86%,3,6,88%,329,29,16,9,2,76%,32/42,Rabbitohs vs Wests Tigers,Rabbitohs,2015
1,39%,19:45,153,"1,403",473,2,29,37.9,131,3.59s,9,352,188,17,13,315,1,40%,2,6,91.5%,344,26,6,6,1,51%,19/37,Rabbitohs vs Wests Tigers,Wests Tigers,2015
