,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,23:46,146,"1,116",342,2,26,31.9,100,3.42s,6,321,171,23,13,377,0,33%,1,2,3,82.5%,255,32,22,11,6,1,7,74%,26/35,Broncos vs Storm,Broncos,2018
1,48%,21:57,142,"1,334",341,4,32,39.2,167,3.33s,14,321,168,25,21,491,1,50%,0,1,9,89.3%,308,26,11,9,8,0,8,79%,27/34,Broncos vs Storm,Storm,2018
