,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:54,166,"1,675",516,7,35,43,251,3.49s,6,342,177,21,18,626,1,88%,4,3,92.3%,347,13,1,16,6,1,77%,30/39,Broncos vs Titans,Broncos,2015
1,48%,24:49,180,"1,563",562,2,13,42.3,226,4.01s,10,437,241,30,24,565,4,100%,3,6,88.3%,325,35,0,8,7,1,84%,31/37,Broncos vs Titans,Titans,2015
