,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,26:34,164,"1,375",529,3,26,34.4,158,19,419,225,27,22,537,1,83%,0,1,5,85.2%,304,35,18,3,70%,28/40,Broncos vs Bulldogs,Broncos,2013
1,47%,23:33,157,"1,419",472,5,35,41.7,114,13,364,201,17,17,402,1,69%,1,6,4,83.9%,307,27,32,7,65%,22/34,Broncos vs Bulldogs,Bulldogs,2013
