,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:50,176,"1,509",499,5,22,44.4,98,3.63s,16,399,225,16,19,434,1,67%,5,2,90.9%,350,28,1,7,7,8,1,7,85%,29/34,Bulldogs vs Warriors,Bulldogs,2016
1,51%,26:53,175,"1,663",505,7,28,43.8,232,3.51s,4,383,212,27,18,431,2,64%,1,2,87.9%,311,22,2,21,7,5,0,8,82%,31/38,Bulldogs vs Warriors,Warriors,2016
