,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,27:25,188,"1,442",399,3,32,36.1,125,3.43s,7,392,206,29,15,534,0,83%,2,0,88.3%,326,28,0,15,13,2,0,7,70%,28/40,Warriors vs Roosters,Warriors,2017
1,50%,27:25,185,"1,627",434,2,28,40.7,180,3.57s,10,439,234,41,24,518,2,75%,11,8,89.6%,335,32,1,7,11,7,1,7,75%,30/40,Warriors vs Roosters,Roosters,2017
