,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,29:53,196,"1,877",488,7,34,41.7,250,3.57s,18,432,232,15,22,520,4,71%,0,4,9,89.4%,288,27,1,7,10,5,8,84%,38/45,Knights vs Titans,Knights,2019
1,44%,23:28,135,"1,039",305,1,27,32.5,80,3.5s,4,338,192,12,20,511,1,57%,1,3,5,85.9%,371,34,0,27,8,8,6,75%,24/32,Knights vs Titans,Titans,2019
