,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,26:03,170,"1,703",594,3,12,44.8,270,3.5s,6,388,206,25,18,510,1,70%,4,5,88%,395,32,0,22,4,1,74%,28/38,Broncos vs Bulldogs,Broncos,2015
1,53%,29:23,205,"1,750",630,6,32,47.3,163,3.77s,14,484,272,31,26,538,2,62%,4,10,93.9%,356,12,1,11,6,0,89%,33/37,Broncos vs Bulldogs,Bulldogs,2015
