,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,31:19,224,"1,926",515,5,37,47,171,3.53s,13,432,234,14,18,535,80%,5,2,88%,286,16,1,23,13,8,8,0,73%,30/41,Sea Eagles vs Knights,Sea Eagles,2019
1,45%,25:37,180,"1,541",384,2,16,42.8,162,3.41s,12,396,214,9,19,451,50%,7,4,86.7%,373,37,1,20,12,6,8,1,72%,26/36,Sea Eagles vs Knights,Knights,2019
