,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,25:14,182,"1,687",593,8,41,46.9,203,3.28s,8,341,170,21,17,470,4,82%,4,5,89.6%,355,29,12,9,11,10,0,75%,27/36,Storm vs Cowboys,Storm,2017
1,53%,28:28,186,"1,643",527,3,29,43.2,180,3.16s,7,405,229,16,21,519,3,89%,6,7,84.2%,293,41,14,4,7,8,2,89%,34/38,Storm vs Cowboys,Cowboys,2017
