,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,28:40,173,"1,633",588,4,25,37.1,171,9,425,234,8,21,565,3,100%,1,3,4,89%,284,21,14,4,70%,31/44,Sea Eagles vs Warriors,Sea Eagles,2013
1,44%,22:31,139,"1,218",375,5,21,35.8,124,12,376,215,4,23,609,0,92%,0,5,5,89%,324,25,15,7,65%,22/34,Sea Eagles vs Warriors,Warriors,2013
