,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:18,145,"1,231",471,1,11,32.4,134,4,346,178,7,21,586,2,87%,1,1,7,86.3%,314,34,16,5,0,66%,25/38,Wests Tigers vs Roosters,Wests Tigers,2014
1,56%,28:23,171,"1,720",568,8,34,42,228,8,384,197,5,22,551,1,87%,0,1,6,95.5%,321,11,4,4,1,78%,32/41,Wests Tigers vs Roosters,Roosters,2014
