,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,28:45,191,"1,758",479,5,41,46.3,257,3.38s,11,419,229,12,17,406,1,89%,0,6,5,85.6%,274,17,0,29,13,5,6,0,68%,26/38,Sea Eagles vs Eels,Sea Eagles,2019
1,46%,24:30,165,"1,415",314,3,17,40.4,100,3.47s,18,368,186,9,21,624,0,67%,1,3,5,85.5%,348,41,1,18,8,5,8,1,74%,26/35,Sea Eagles vs Eels,Eels,2019
