,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:56,152,"1,287",393,5,34,35.8,148,3.54s,14,348,174,13,17,545,0,50%,5,5,88.1%,342,29,1,17,13,8,0,6,4,78%,28/36,Sharks vs Panthers,Sharks,2018
1,53%,28:07,176,"1,582",524,4,29,41.6,194,3.29s,11,416,230,25,20,389,2,62%,9,6,83.3%,294,34,0,25,8,9,1,7,0,84%,32/38,Sharks vs Panthers,Panthers,2018
