,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,21:36,172,"1,726",581,6,23,45.4,198,3.75s,7,406,229,27,22,543,1,78%,3,4,90%,315,23,0,12,10,1,79%,30/38,Sea Eagles vs Wests Tigers,Sea Eagles,2015
1,55%,26:24,161,"1,541",433,4,23,38.5,167,3.77s,8,360,193,18,21,507,1,75%,1,6,90.3%,307,23,1,10,6,1,75%,30/40,Sea Eagles vs Wests Tigers,Wests Tigers,2015
