,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:00,176,"1,521",402,3,44,41.1,206,3.45s,11,389,205,20,19,528,2,80%,6,4,87%,348,31,21,7,7,0,1,8,0,86%,32/37,Knights vs Wests Tigers,Knights,2019
1,49%,26:55,178,"1,488",395,5,31,43.8,161,3.48s,13,398,218,21,20,564,2,56%,7,3,86.4%,382,44,16,6,6,1,0,7,2,88%,30/34,Knights vs Wests Tigers,Wests Tigers,2019
