,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:46,178,"1,217",211,2,13,32.9,55,3.6s,14,411,234,15,17,485,2,60%,4,4,90.5%,314,27,0,6,12,9,2,1,8,70%,26/37,Bulldogs vs Raiders,Bulldogs,2016
1,52%,26:50,163,"1,540",298,2,27,36.7,232,3.86s,4,348,180,14,19,483,1,71%,2,4,90.8%,334,13,1,21,12,7,1,0,7,76%,32/42,Bulldogs vs Raiders,Raiders,2016
