,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,25:36,176,"1,836",689,2,26,44.8,210,7,425,235,16,22,342,2,73%,2,12,89.3%,301,21,2,15,7,66%,27/41,Wests Tigers vs Sharks,Wests Tigers,2014
1,43%,19:19,146,"1,331",492,4,21,36,137,8,329,173,10,15,450,0,100%,3,2,91.5%,375,26,0,9,6,54%,20/37,Wests Tigers vs Sharks,Sharks,2014
